timestamp,frame_index,structural_dx_pixels,structural_dy_pixels,structural_displacement_pixels,velocity_x_pixels_s,velocity_y_pixels_s,velocity_magnitude_pixels_s,acceleration_x_pixels_s2,acceleration_y_pixels_s2,acceleration_magnitude_pixels_s2,optical_dominant_frequency_hz,valid_feature_count,tracking_quality,measurement_valid,camera_fps
106624.7247,72,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8468,19,GOOD,True,30.5666
106624.7575,73,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8352,19,GOOD,True,30.5103
106624.7886,74,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8245,19,GOOD,True,30.5638
106624.8201,75,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.814,19,GOOD,True,30.5717
106624.8654,76,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7992,19,GOOD,True,30.102
106624.8972,77,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7892,19,GOOD,True,30.0369
106624.9271,78,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.78,19,GOOD,True,30.0826
106624.9584,79,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7706,19,GOOD,True,30.0318
106624.9911,80,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.761,19,GOOD,True,30.5347
106625.0236,81,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7517,19,GOOD,True,30.4291
106625.0542,82,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7432,19,GOOD,True,30.4249
106625.0848,83,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7348,19,GOOD,True,30.3554
106625.13,84,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7228,19,GOOD,True,29.9811
106625.1599,85,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.715,19,GOOD,True,30.029
106625.1904,86,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7073,19,GOOD,True,30.0319
106625.2223,87,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6995,19,GOOD,True,30.5756
106625.254,88,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6918,19,GOOD,True,30.5508
106625.2829,89,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.685,19,GOOD,True,30.6731
106625.314,90,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6777,19,GOOD,True,30.6349
106625.361,91,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6671,19,GOOD,True,30.2159
106625.3919,92,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6603,19,GOOD,True,30.1949
106625.4259,93,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6529,19,GOOD,True,30.1181
106625.4565,94,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6465,19,GOOD,True,30.1483
106625.4873,95,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6401,19,GOOD,True,30.1788
106625.5177,96,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.634,19,GOOD,True,30.1731
106625.5483,97,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6279,19,GOOD,True,30.2025
106625.5791,98,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6219,19,GOOD,True,30.7174
106625.6096,99,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.616,19,GOOD,True,30.6378
106625.6564,100,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6072,19,GOOD,True,30.1595
106625.6887,101,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6013,19,GOOD,True,30.0835
106625.7193,102,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5959,19,GOOD,True,30.1517
106625.7496,103,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5905,19,GOOD,True,30.1773
106625.7805,104,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5852,19,GOOD,True,30.1969
106625.8123,105,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5798,19,GOOD,True,30.6272
106625.843,106,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5747,19,GOOD,True,30.6606
106625.8742,107,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,19,GOOD,True,30.6188
106625.9239,108,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5616,19,GOOD,True,30.0381
106625.9538,109,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5569,19,GOOD,True,30.1224
106625.9833,110,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5524,19,GOOD,True,30.2198
106626.0131,111,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5479,19,GOOD,True,30.2404
106626.0446,112,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5432,19,GOOD,True,30.2164
106626.0763,113,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5386,19,GOOD,True,30.6445
106626.1066,114,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5342,19,GOOD,True,30.6329
106626.155,115,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5274,19,GOOD,True,30.0649
106626.1842,116,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5234,19,GOOD,True,30.147
106626.2139,117,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5193,19,GOOD,True,30.2108
106626.2443,118,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5153,19,GOOD,True,30.1618
106626.2748,119,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5113,19,GOOD,True,30.1826
106626.3071,120,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5071,19,GOOD,True,30.652
106626.3393,121,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.503,19,GOOD,True,30.6087
106626.3852,122,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7458,19,GOOD,True,30.2285
106626.4132,123,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7407,19,GOOD,True,30.314
106626.446,124,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7347,19,GOOD,True,30.2474
106626.4762,125,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7293,19,GOOD,True,30.2543
106626.5077,126,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,19,GOOD,True,30.2295
106626.5396,127,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7183,19,GOOD,True,30.1928
106626.5711,128,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7129,19,GOOD,True,30.1597
106626.6013,129,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7158,19,GOOD,True,30.6912
106626.6477,130,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.7119,19,GOOD,True,30.2407
